Run Time,Name,Status,Summary,m_omit,m_omit
"11:06 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8117MB virtual memory free, 0 pages/sec","",
"11:07 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8119MB virtual memory free, 0 pages/sec","",
"11:07 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8119MB virtual memory free, 0 pages/sec","",
"11:08 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8119MB virtual memory free, 0 pages/sec","",
"11:08 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8119MB virtual memory free, 0 pages/sec","",
"11:09 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8119MB virtual memory free, 0 pages/sec","",
"11:09 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8118MB virtual memory free, 0 pages/sec","",
"11:10 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8118MB virtual memory free, 0 pages/sec","",
"11:10 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","52% virtual memory used, 7769MB virtual memory free, 0.13332 pages/sec","",
"11:11 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8121MB virtual memory free, 0.26666 pages/sec","",
"11:11 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8121MB virtual memory free, 6.76685 pages/sec","",
"11:12 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8129MB virtual memory free, 0 pages/sec","",
"11:12 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8130MB virtual memory free, 0.53324 pages/sec","",
"11:13 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8129MB virtual memory free, 0 pages/sec","",
"11:13 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8129MB virtual memory free, 1.73274 pages/sec","",
"11:14 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8128MB virtual memory free, 0.86668 pages/sec","",
"11:14 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8128MB virtual memory free, 0 pages/sec","",
"11:15 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8128MB virtual memory free, 0 pages/sec","",
"11:15 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8126MB virtual memory free, 0.66676 pages/sec","",
"11:16 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8128MB virtual memory free, 0 pages/sec","",
"11:16 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8135MB virtual memory free, 0.26667 pages/sec","",
"11:17 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8135MB virtual memory free, 0 pages/sec","",
"11:17 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8133MB virtual memory free, 0.23334 pages/sec","",
"11:18 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8112MB virtual memory free, 0.09999 pages/sec","",
"11:18 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8112MB virtual memory free, 0.06666 pages/sec","",
"11:19 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8121MB virtual memory free, 0 pages/sec","",
"11:19 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8118MB virtual memory free, 1.36694 pages/sec","",
"11:20 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8130MB virtual memory free, 0 pages/sec","",
"11:20 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8129MB virtual memory free, 0 pages/sec","",
"11:21 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8131MB virtual memory free, 0 pages/sec","",
